,title,subheading,location,transliteration,translation,arabic_verse_part,arabic_word
13113,ب ل و,"Verb (form VIII) - to test, to try",(89:16:4),ib'talāhu,He try him,وَأَمَّا إِذَا مَا ابْتَلَاهُ فَقَدَرَ عَلَيْهِ رِزْقَهُ فَيَقُولُ رَبِّي أَهَانَنِ,ابْتَلَاهُ
13114,ب ل و,Noun,(2:49:15),balāon,(was) a trial,وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ,بَلَاءٌ
13115,ب ل و,Noun,(7:141:15),balāon,(was) a trial,وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ,بَلَاءٌ
13116,ب ل و,Noun,(8:17:16),balāan,(with) a trial,وَلِيُبْلِيَ الْمُؤْمِنِينَ مِنْهُ بَلَاءً حَسَنًا,بَلَاءً
13117,ب ل و,Noun,(14:6:23),balāon,(was) a trial,وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ,بَلَاءٌ
13118,ب ل و,Noun,(37:106:4),l-balāu,the trial,إِنَّ هَٰذَا لَهُوَ الْبَلَاءُ الْمُبِينُ,الْبَلَاءُ
13119,ب ل و,Noun,(44:33:6),balāon,(was) a trial,وَآتَيْنَاهُمْ مِنَ الْآيَاتِ مَا فِيهِ بَلَاءٌ مُبِينٌ,بَلَاءٌ
13120,ب ل و,Active participle (form VIII),(2:249:8),mub'talīkum,will test you,فَلَمَّا فَصَلَ طَالُوتُ بِالْجُنُودِ قَالَ إِنَّ اللَّهَ مُبْتَلِيكُمْ بِنَهَرٍ,مُبْتَلِيكُمْ
13121,ب ل و,Active participle (form VIII),(23:30:7),lamub'talīna,surely testing,إِنَّ فِي ذَٰلِكَ لَآيَاتٍ وَإِنْ كُنَّا لَمُبْتَلِينَ,لَمُبْتَلِينَ
13122,ب ن ن,Noun,(8:12:23),banānin,fingertip[s],فَاضْرِبُوا فَوْقَ الْأَعْنَاقِ وَاضْرِبُوا مِنْهُمْ كُلَّ بَنَانٍ,بَنَانٍ
13123,ب ن ن,Noun,(75:4:6),banānahu,his fingertips,بَلَىٰ قَادِرِينَ عَلَىٰ أَنْ نُسَوِّيَ بَنَانَهُ,بَنَانَهُ
13124,ب ن ي,"Verb (form I) - to construct, to build",(9:110:5),banaw,they built,لَا يَزَالُ بُنْيَانُهُمُ الَّذِي بَنَوْا رِيبَةً فِي قُلُوبِهِمْ,بَنَوْا
13125,ب ن ي,"Verb (form I) - to construct, to build",(18:21:19),ib'nū,Construct,فَقَالُوا ابْنُوا عَلَيْهِمْ بُنْيَانًا رَبُّهُمْ أَعْلَمُ بِهِمْ,ابْنُوا
13126,ب ن ي,"Verb (form I) - to construct, to build",(26:128:1),atabnūna,Do you construct,أَتَبْنُونَ بِكُلِّ رِيعٍ آيَةً تَعْبَثُونَ,أَتَبْنُونَ
13127,ب ن ي,"Verb (form I) - to construct, to build",(37:97:2),ib'nū,Build,قَالُوا ابْنُوا لَهُ بُنْيَانًا فَأَلْقُوهُ فِي الْجَحِيمِ,ابْنُوا
13128,ب ن ي,"Verb (form I) - to construct, to build",(40:36:4),ib'ni,Construct,وَقَالَ فِرْعَوْنُ يَا هَامَانُ ابْنِ لِي صَرْحًا لَعَلِّي أَبْلُغُ الْأَسْبَابَ,ابْنِ
13129,ب ن ي,"Verb (form I) - to construct, to build",(50:6:7),banaynāhā,We structured it,أَفَلَمْ يَنْظُرُوا إِلَى السَّمَاءِ فَوْقَهُمْ كَيْفَ بَنَيْنَاهَا,بَنَيْنَاهَا
13130,ب ن ي,"Verb (form I) - to construct, to build",(51:47:2),banaynāhā,We constructed it,وَالسَّمَاءَ بَنَيْنَاهَا بِأَيْدٍ وَإِنَّا لَمُوسِعُونَ,بَنَيْنَاهَا
13131,ب ن ي,"Verb (form I) - to construct, to build",(66:11:11),ib'ni,Build,إِذْ قَالَتْ رَبِّ ابْنِ لِي عِنْدَكَ بَيْتًا فِي الْجَنَّةِ,ابْنِ
13132,ب ن ي,"Verb (form I) - to construct, to build",(78:12:1),wabanaynā,And We constructed,وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا,وَبَنَيْنَا
13133,ب ن ي,"Verb (form I) - to construct, to build",(79:27:6),banāhā,He constructed it,أَأَنْتُمْ أَشَدُّ خَلْقًا أَمِ السَّمَاءُ بَنَاهَا,بَنَاهَا
13134,ب ن ي,"Verb (form I) - to construct, to build",(91:5:3),banāhā,constructed it,وَالسَّمَاءِ وَمَا بَنَاهَا,بَنَاهَا
13135,ب ن ي,Noun,(2:49:10),abnāakum,your sons,يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ,أَبْنَاءَكُمْ
13136,ب ن ي,Noun,(2:87:11),ib'na,(the) son,وَآتَيْنَا عِيسَى ابْنَ مَرْيَمَ الْبَيِّنَاتِ وَأَيَّدْنَاهُ بِرُوحِ الْقُدُسِ,ابْنَ
13137,ب ن ي,Noun,(2:146:7),abnāahum,their sons,الَّذِينَ آتَيْنَاهُمُ الْكِتَابَ يَعْرِفُونَهُ كَمَا يَعْرِفُونَ أَبْنَاءَهُمْ,أَبْنَاءَهُمْ
13138,ب ن ي,Noun,(2:177:27),wa-ib'na,and (of),وَآتَى الْمَالَ عَلَىٰ حُبِّهِ ذَوِي الْقُرْبَىٰ وَالْيَتَامَىٰ وَالْمَسَاكِينَ وَابْنَ السَّبِيلِ,وَابْنَ
13139,ب ن ي,Noun,(2:215:13),wa-ib'ni,and (of),قُلْ مَا أَنْفَقْتُمْ مِنْ خَيْرٍ فَلِلْوَالِدَيْنِ وَالْأَقْرَبِينَ وَالْيَتَامَىٰ وَالْمَسَاكِينِ وَابْنِ السَّبِيلِ,وَابْنِ
13140,ب ن ي,Noun,(2:246:43),wa-abnāinā,and our children,وَمَا لَنَا أَلَّا نُقَاتِلَ فِي سَبِيلِ اللَّهِ وَقَدْ أُخْرِجْنَا مِنْ دِيَارِنَا وَأَبْنَائِنَا,وَأَبْنَائِنَا
13141,ب ن ي,Noun,(2:253:16),ib'na,son,وَآتَيْنَا عِيسَى ابْنَ مَرْيَمَ الْبَيِّنَاتِ وَأَيَّدْنَاهُ بِرُوحِ الْقُدُسِ,ابْنَ
13142,ب ن ي,Noun,(3:45:13),ub'nu,son,إِنَّ اللَّهَ يُبَشِّرُكِ بِكَلِمَةٍ مِنْهُ اسْمُهُ الْمَسِيحُ عِيسَى ابْنُ مَرْيَمَ,ابْنُ
13143,ب ن ي,Noun,(3:61:13),abnāanā,our sons,فَقُلْ تَعَالَوْا نَدْعُ أَبْنَاءَنَا وَأَبْنَاءَكُمْ وَنِسَاءَنَا وَنِسَاءَكُمْ,أَبْنَاءَنَا
13144,ب ن ي,Noun,(3:61:14),wa-abnāakum,and your sons,فَقُلْ تَعَالَوْا نَدْعُ أَبْنَاءَنَا وَأَبْنَاءَكُمْ وَنِسَاءَنَا وَنِسَاءَكُمْ,وَأَبْنَاءَكُمْ
13145,ب ن ي,Noun,(4:11:57),wa-abnāukum,and your children,آبَاؤُكُمْ وَأَبْنَاؤُكُمْ لَا تَدْرُونَ أَيُّهُمْ أَقْرَبُ لَكُمْ نَفْعًا,وَأَبْنَاؤُكُمْ
13146,ب ن ي,Noun,(4:23:38),abnāikumu,(of) your sons,وَحَلَائِلُ أَبْنَائِكُمُ الَّذِينَ مِنْ أَصْلَابِكُمْ,أَبْنَائِكُمُ
13147,ب ن ي,Noun,(4:36:20),wa-ib'ni,and the,وَالْجَارِ الْجُنُبِ وَالصَّاحِبِ بِالْجَنْبِ وَابْنِ السَّبِيلِ,وَابْنِ
13148,ب ن ي,Noun,(4:157:6),ib'na,son,وَقَوْلِهِمْ إِنَّا قَتَلْنَا الْمَسِيحَ عِيسَى ابْنَ مَرْيَمَ رَسُولَ اللَّهِ,ابْنَ
13149,ب ن ي,Noun,(4:171:16),ub'nu,son,إِنَّمَا الْمَسِيحُ عِيسَى ابْنُ مَرْيَمَ رَسُولُ اللَّهِ وَكَلِمَتُهُ,ابْنُ
13150,ب ن ي,Noun,(5:17:9),ub'nu,son,لَقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ هُوَ الْمَسِيحُ ابْنُ مَرْيَمَ,ابْنُ
13151,ب ن ي,Noun,(5:17:22),ib'na,son,قُلْ فَمَنْ يَمْلِكُ مِنَ اللَّهِ شَيْئًا إِنْ أَرَادَ أَنْ يُهْلِكَ الْمَسِيحَ ابْنَ مَرْيَمَ,ابْنَ
13152,ب ن ي,Noun,(5:18:5),abnāu,(the) children,وَقَالَتِ الْيَهُودُ وَالنَّصَارَىٰ نَحْنُ أَبْنَاءُ اللَّهِ وَأَحِبَّاؤُهُ,أَبْنَاءُ
13153,ب ن ي,Noun,(5:27:4),ib'nay,(of) two sons,وَاتْلُ عَلَيْهِمْ نَبَأَ ابْنَيْ آدَمَ بِالْحَقِّ إِذْ قَرَّبَا قُرْبَانًا,ابْنَيْ
13154,ب ن ي,Noun,(5:46:5),ib'ni,son,وَقَفَّيْنَا عَلَىٰ آثَارِهِمْ بِعِيسَى ابْنِ مَرْيَمَ مُصَدِّقًا لِمَا بَيْنَ يَدَيْهِ,ابْنِ
13155,ب ن ي,Noun,(5:72:9),ub'nu,son,لَقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ هُوَ الْمَسِيحُ ابْنُ مَرْيَمَ,ابْنُ
